Distance,X,Y
1050.5091520595156,5972.0,4841.0
1057.3274999999996,6029.695016111076,4910.808499219807
1060.5670252886773,6051.0,4939.0
1066.8386111111108,6073.901506883776,4972.926714663372
1070.3555189532703,6087.0,4994.0
1073.171944444444,6100.804364575703,5016.114120517571
1074.8529222762188,6110.0,5032.0
1078.4163888888886,6130.893513181872,5072.524567225426
1084.0163888888885,6163.320210225328,5143.288142287951
1086.682064306806,6175.0,5170.0
1096.5497222222218,6199.945643669648,5233.566927254928
1102.2022055390812,6213.0,5273.0
1108.8386111111106,6232.232948919836,5333.679984185226
1111.2374520762914,6239.0,5356.0
1116.3497222222218,6252.011815864231,5401.119481244679
1121.8794622776277,6266.0,5455.0
1132.7052777777774,6296.864945160501,5590.812522277518
1134.423651707615,6301.0,5611.0
1151.1936372040848,6326.0,5774.0
1155.149722222222,6329.216026667125,5812.772852314933
1164.1931212434954,6333.0,5903.0
1176.3646529311375,6329.0,6020.0
1181.671944444444,6324.558037642944,6072.422133390015
1190.758543667872,6313.0,6164.0
1196.1386111111108,6303.8541893255,6216.796677757113
1200.667550023829,6295.0,6260.0
1225.1052777777772,6227.9704650151825,6482.683819984979
1225.913033459369,6225.0,6490.0
1236.7049459620882,6181.0,6587.0
1243.573108678302,6150.0,6647.0
1246.7941666666661,6132.625247566495,6677.516643820716
1263.4608333333329,6022.065283284157,6848.266052994042
1265.770890362384,6008.0,6868.0
1274.7052777777774,5959.507783677491,6931.116259317448
1288.4795873399655,5890.0,7008.0
1288.9830555555552,5887.179144314343,7010.9654525741435
1310.2852398040645,5733.0,7158.0
1312.2719444444442,5712.006195911812,7175.794591492499
1323.6152668005693,5583.0,7281.0
1324.138611111111,5577.882358111302,7285.104103972997
1345.3719444444444,5443.717987906379,7388.891951562443
1354.0489901571705,5391.0,7429.0
1360.7608333333333,5342.190887824674,7466.5678228935485
1374.1847094179009,5233.0,7552.0
1379.4274999999998,5191.403831874117,7585.30279786357
1388.3374843498675,5124.0,7640.0
1404.2710789547787,5003.0,7740.0
1408.0274999999997,4962.0927143558,7774.44939000082
1423.5010189489035,4779.0,7930.0
1427.2941666666666,4753.254846192169,7952.0853790961
1446.278183579557,4694.0,8004.0
1456.6941666666664,4618.047790517049,8068.919721143877
1462.6907364419726,4570.0,8110.0
1473.220833333333,4495.259621131273,8174.2840213163745
1486.338333333333,4392.799862219619,8262.586103908809
1487.3325327078749,4383.0,8271.0
1505.669023307714,4181.0,8444.0
1506.3383333333331,4175.238769314581,8448.932477410353
1526.4716666666664,4072.9339213123103,8536.61378502156
1532.524700809683,4041.0,8564.0
1539.938333333333,3991.5918334487114,8606.362480233955
1556.2034472288476,3862.0,8718.0
1556.8827777777774,3856.774227693747,8722.543682707836
1571.5104694930342,3748.0,8818.0
1586.8651115884682,3633.0,8920.0
1597.8161111111108,3550.1919444685645,8992.332795826143
1610.8555177182604,3453.0,9077.0
1624.5961587461784,3350.0,9168.0
1625.2827777777775,3344.1770106775944,9173.134227636818
1645.8827777777774,3142.986052579267,9349.672014124564
1650.3580595759097,3105.0,9383.0
1663.1049999999998,3020.403174147561,9457.403851934476
1676.8383333333331,2950.0356063627073,9519.171012201828
1683.0067793047779,2911.0,9553.0
1700.7938888888884,2775.753244205597,9669.311824463715
1701.8187323548896,2768.0,9676.0
1718.876630709252,2639.0,9788.0
1721.2605555555554,2618.008376067335,9806.305710347944
1739.242035229926,2447.0,9956.0
1741.5938888888886,2428.1653400266605,9972.611040081047
1767.3713585393905,2269.0,10115.0
1771.2938888888887,2241.6298134745716,10139.52885232458
1786.9871336820747,2127.0,10242.0
1799.8917607962112,2046.0,10314.0
1806.8605555555555,1981.265465825487,10371.425033280993
1822.1982675190297,1819.0,10515.0
1832.1938888888888,1758.1175544120547,10568.19455779159
1847.2304223716005,1686.0,10625.0
1868.5938888888888,1474.2003567187433,10775.174146687847
1870.9070502086581,1451.0,10790.0
1893.2289146250146,1257.0,10885.0
1894.927222222222,1241.1986183002223,10890.665369932816
1904.793888888889,1143.0006709125778,10921.401773622089
1909.1383571710107,1101.0,10932.0
1918.2737732246255,1013.0,10946.0
1918.6605555555554,1008.4565551192355,10946.338360712783
1931.9189443979426,821.0,10948.0
1941.2716666666665,755.3988324333862,10949.306867939444
1949.8586378658524,685.0,10931.0
1958.6356659610012,547.0,10880.0
1958.9716666666666,542.6569800488869,10878.2417065185
1975.4297410512531,450.0,10821.0
1979.5516666666667,425.3358452927408,10800.688415899285
1985.629499625117,379.0,10753.0
1988.7830555555556,350.94525432682167,10713.872579340099
1996.7555814111022,282.0,10601.0
1998.0608333333334,274.2032502484852,10587.52918469222
2014.7306966139374,236.0,10497.0
2018.9608333333335,224.29082575744513,10460.754614279065
2023.40696405806,212.0,10417.0
2028.683055555556,202.12442003989327,10364.34834092584
2035.258474300732,195.0,10299.0
2042.7608333333335,190.33783611479762,10223.729614466936
2043.3732882049749,190.0,10217.0
2055.0941666666668,183.21869262121973,10067.79741900127
2060.8490922715523,179.0,10000.0
2063.2719444444447,176.9285547281319,9974.756299513163
2078.4719444444445,159.14427831561997,9856.786162514098
2079.9187910475807,157.0,9848.0
2085.5830555555553,147.46124860741773,9816.134486847875
2087.8249149527037,142.0,9801.0
2094.0274999999997,117.84718468105909,9744.363335728474
2094.52004002802,115.0,9739.0
2100.471944444444,67.31175953191524,9664.330681744563
2104.8302560891602,31.0,9615.0
2106.649722222222,18.604864534481727,9599.48845203853
2118.4792514289566,-38.0,9551.0
2119.449722222222,-43.93197590496818,9546.480767789126
2124.960833333333,-86.87332761240674,9515.004839733961
2126.7709519890095,-108.0,9503.0
2131.738611111111,-185.48060005034017,9467.369338435463
2133.5040246993844,-212.0,9457.0
2140.916388888889,-288.43514369637364,9438.996023906195
2147.6835391174973,-332.0,9441.0
2152.316388888889,-360.56272587331983,9442.500337632804
2154.6208114283118,-376.0,9444.0
2158.649722222222,-406.52430537111525,9448.51158340483
2164.2227299221677,-465.0,9471.0
2167.749722222222,-517.8047413499141,9503.500237577759
2170.878233843825,-560.0,9532.0
2178.6830555555553,-601.6462872745099,9564.695330604183
2183.9739206602567,-619.0,9589.0
2188.4052777777774,-644.3127620334925,9625.017804583054
2194.0941666666663,-683.1926662003699,9682.947454381787
2196.0353087889357,-694.0,9701.0
2200.049722222222,-712.195463106691,9735.185587450684
2207.8275,-735.4390824550112,9794.892297159096
2211.479703493738,-745.0,9827.0
2214.1830555555553,-751.7051182880036,9852.381370693201
2218.976467505354,-762.0,9898.0
2229.7678520467935,-775.0,9998.0
2230.0830555555553,-775.1583806573076,10001.002433418744
2232.467473207681,-776.0,10024.0
2237.3727777777776,-776.7150628062916,10073.381301492356
2240.698401226821,-776.0,10107.0
2244.9727777777775,-773.3474699228782,10149.810745341301
2257.039444444444,-757.6634201831095,10267.765627760964
2258.6686217438955,-755.0,10283.0
2267.3516776211854,-738.0,10365.0
2278.9844444444443,-699.2618839596433,10504.055040900632
2280.7770621807877,-692.0,10526.0
2288.006666666666,-660.1509083127547,10611.228894773862
2294.542646115472,-633.0,10677.0
2302.2066666666665,-607.223414901765,10736.623708136376
2309.021647280516,-584.0,10787.0
2311.9844444444443,-572.5233804663951,10811.065135507983
2326.7050545526295,-507.0,10942.0
2332.4288888888887,-480.1682533539399,10992.700114403062
2345.148636292718,-421.0,11102.0
2351.0955555555547,-394.57620318181023,11151.41238816619
2353.2773775937894,-383.0,11172.0
2371.345987408025,-253.0,11382.0
2373.317777777777,-241.89551075433945,11399.020049415694
2387.5399999999995,-189.1588422555534,11473.701989173353
2394.18717966635,-162.0,11509.0
2407.9955555555553,-82.77126562274576,11610.757182968493
2420.901445030319,3.0,11714.0
2428.467424195626,53.0,11769.0
2429.0733333333333,57.05382358273304,11773.35903801563
2440.6066295671294,136.0,11856.0
